Title,Difficulty,Pattern,LeetCode Link,Company
Search in Rotated Sorted Array,Medium,Binary Search - Find Min/Max in Rotated Sorted Array,,
Find Minimum in Rotated Sorted Array,Medium,Binary Search - Find Min/Max in Rotated Sorted Array,,
Split Array Largest Sum,Hard,Binary Search - On Answer / Condition Function,,
Koko Eating Bananas,Medium,Binary Search - On Answer / Condition Function,,
Find First and Last Position of Element in Sorted Array,Medium,Binary Search - Find First/Last Occurrence,,
Find K-th Smallest Pair Distance,Hard,Binary Search - Median / Kth across Two Sorted Arrays,,
Valid Parentheses,Easy,Stack - Valid Parentheses Matching,,
Longest Valid Parentheses,Hard,Stack - Valid Parentheses Matching,,
Remove K Digits,Medium,Stack - Monotonic Stack,,
Next Greater Element I,Easy,Stack - Monotonic Stack,,
Evaluate Reverse Polish Notation,Medium,Stack - Expression Evaluation (RPN/Infix),,
Basic Calculator,Hard,Stack - Expression Evaluation (RPN/Infix),,
Simplify Path,Medium,Stack - Simulation / Backtracking Helper,,
Decode String,Medium,Stack - Simulation / Backtracking Helper,,
Single Number,Easy,Bitwise XOR - Finding Single/Missing Number,,
Single Number II,Medium,Bitwise XOR - Finding Single/Missing Number,,
Number of 1 Bits,Easy,Bitwise AND - Counting Set Bits (Hamming Weight),,
Power of Two,Easy,Bitwise AND - Counting Set Bits,,
Remove Duplicates from Sorted List,Easy,Linked List - In-place Reversal,,
Reverse Linked List,Easy,Linked List - In-place Reversal,,
Merge Two Sorted Lists,Easy,Linked List - Merging Two Sorted Lists,,
Merge k Sorted Lists,Hard,Linked List - Merging Two Sorted Lists,,
Add Two Numbers,Medium,Linked List - Addition of Numbers,,
Plus One Linked List,Easy,Linked List - Addition of Numbers,,
Intersection of Two Linked Lists,Easy,Linked List - Intersection Detection,,
Minimum Index Sum of Two Lists,Easy,Linked List - Intersection Detection,,
Rotate Image,Medium,Array/Matrix - In-place Rotation,,
Rotate Array,Easy,Array/Matrix - In-place Rotation,,
Spiral Matrix,Medium,Array/Matrix - Spiral Traversal,,
Spiral Matrix II,Medium,Array/Matrix - Spiral Traversal,,
Set Matrix Zeroes,Medium,Array/Matrix - Set Matrix Zeroes (In-place Marking),,
Game of Life,Medium,Array/Matrix - Set Matrix Zeroes (In-place Marking),,
Product of Array Except Self,Medium,Array - Product Except Self (Prefix/Suffix Products),,
Longest Mountain in Array,Medium,Array - Product Except Self (Prefix/Suffix Products),,
Palindrome Number,Easy,String - Palindrome Check,,
Valid Palindrome,Easy,String - Palindrome Check,,
Group Anagrams,Medium,String - Anagram Check,,
Valid Anagram,Easy,String - Anagram Check,,
Roman to Integer,Easy,String - Roman to Integer Conversion,,
Integer to Roman,Medium,String - Roman to Integer Conversion,,
LRU Cache,Medium,Design (General/Specific),,
Min Stack,Easy,Design (General/Specific),,
Implement Trie (Prefix Tree),Medium,Tries,,
Design Add and Search Words Data Structure,Medium,Tries,,
